_id,Condition,ICD10,ICD10QF,SMRType,FinancialYear,Gender,GenderQF,AgeGroup,AgeGroupQF,EASRStays,EASRPatients,EASRNewPatients,EASRNewPatientsQF,NumberOfStays,NumberOfStaysQF,NumberOfPatients,NumberOfPatientsQF,NumberOfNewPatients,NumberOfNewPatientsQF,AverageNumberOfStaysPerPatient
1939,All alcohol conditions, ,d z,Combined,2012/13,All,d,30-34 years, ,798.3,500.1,250.6, ,2643, ,1653, ,828, ,1.6
1940,All alcohol conditions, ,d z,Combined,2012/13,All,d,35-39 years, ,953.3,612.7,286.3, ,3054, ,1962, ,918, ,1.6
1941,All alcohol conditions, ,d z,Combined,2012/13,All,d,40-44 years, ,1109.8,685.7,271.4, ,4218, ,2610, ,1035, ,1.6
1942,All alcohol conditions, ,d z,Combined,2012/13,All,d,45-49 years, ,1205.5,727.6,286.9, ,4893, ,2955, ,1167, ,1.7
1943,All alcohol conditions, ,d z,Combined,2012/13,All,d,50-54 years, ,1296.3,790.7,311.4, ,4944, ,3018, ,1191, ,1.6
1944,All alcohol conditions, ,d z,Combined,2012/13,All,d,55-59 years, ,1161.3,731.9,286.8, ,3903, ,2460, ,966, ,1.6
1945,All alcohol conditions, ,d z,Combined,2012/13,All,d,60-64 years, ,1096.6,717.6,300.5, ,3495, ,2289, ,960, ,1.5
1946,All alcohol conditions, ,d z,Combined,2012/13,All,d,65 years and over, ,815.6,559.5,275.2, ,7128, ,4899, ,2400, ,1.5
1947,All alcohol conditions, ,d z,Combined,2013/14,All,d,Under 15 years, ,17.3,16.4,15.8, ,138, ,132, ,126, ,1
1948,All alcohol conditions, ,d z,Combined,2013/14,All,d,15-19 years, ,319.5,295.3,261.3, ,1005, ,930, ,822, ,1.1
1949,All alcohol conditions, ,d z,Combined,2013/14,All,d,20-24 years, ,458.3,392.3,289, ,1695, ,1452, ,1068, ,1.2
1950,All alcohol conditions, ,d z,Combined,2013/14,All,d,25-29 years, ,572.4,425.1,238.4, ,2007, ,1491, ,837, ,1.3
1951,All alcohol conditions, ,d z,Combined,2013/14,All,d,30-34 years, ,763.9,487.1,241, ,2586, ,1647, ,816, ,1.6
1952,All alcohol conditions, ,d z,Combined,2013/14,All,d,35-39 years, ,985.6,607.4,273, ,3075, ,1896, ,852, ,1.6
1953,All alcohol conditions, ,d z,Combined,2013/14,All,d,40-44 years, ,1119.2,671.5,277.1, ,4137, ,2487, ,1026, ,1.7
1954,All alcohol conditions, ,d z,Combined,2013/14,All,d,45-49 years, ,1223.4,746,288.2, ,4932, ,3012, ,1164, ,1.6
1955,All alcohol conditions, ,d z,Combined,2013/14,All,d,50-54 years, ,1282.9,788.1,304.8, ,4989, ,3066, ,1188, ,1.6
1956,All alcohol conditions, ,d z,Combined,2013/14,All,d,55-59 years, ,1222.3,774.8,300.5, ,4191, ,2658, ,1032, ,1.6
1957,All alcohol conditions, ,d z,Combined,2013/14,All,d,60-64 years, ,1139.3,722.7,292.3, ,3573, ,2268, ,918, ,1.6
1958,All alcohol conditions, ,d z,Combined,2013/14,All,d,65 years and over, ,825.5,565.1,275.8, ,7395, ,5064, ,2469, ,1.5
1959,All alcohol conditions, ,d z,Combined,2014/15,All,d,Under 15 years, ,14.9,14.4,13.6, ,120, ,114, ,108, ,1.1
1960,All alcohol conditions, ,d z,Combined,2014/15,All,d,15-19 years, ,293.5,267.2,235.1, ,906, ,825, ,726, ,1.1
1961,All alcohol conditions, ,d z,Combined,2014/15,All,d,20-24 years, ,392.9,343.8,257.3, ,1446, ,1266, ,948, ,1.1
1962,All alcohol conditions, ,d z,Combined,2014/15,All,d,25-29 years, ,510.7,365,196.5, ,1818, ,1299, ,699, ,1.4
1963,All alcohol conditions, ,d z,Combined,2014/15,All,d,30-34 years, ,673.5,444.9,213.5, ,2295, ,1515, ,729, ,1.5
1964,All alcohol conditions, ,d z,Combined,2014/15,All,d,35-39 years, ,886,535,230.9, ,2772, ,1674, ,723, ,1.7
1965,All alcohol conditions, ,d z,Combined,2014/15,All,d,40-44 years, ,1083.1,644.7,259.7, ,3867, ,2304, ,930, ,1.7
1966,All alcohol conditions, ,d z,Combined,2014/15,All,d,45-49 years, ,1162.8,689.4,271.1, ,4638, ,2754, ,1083, ,1.7
1967,All alcohol conditions, ,d z,Combined,2014/15,All,d,50-54 years, ,1229.5,769.4,295, ,4851, ,3039, ,1167, ,1.6
1968,All alcohol conditions, ,d z,Combined,2014/15,All,d,55-59 years, ,1228.3,774.7,304.1, ,4308, ,2718, ,1068, ,1.6
1969,All alcohol conditions, ,d z,Combined,2014/15,All,d,60-64 years, ,1135.5,748.1,323.1, ,3543, ,2337, ,1011, ,1.5
1970,All alcohol conditions, ,d z,Combined,2014/15,All,d,65 years and over, ,825.8,586.9,286.2, ,7620, ,5409, ,2631, ,1.4
1971,All alcohol conditions, ,d z,Combined,2015/16,All,d,Under 15 years, ,15.3,14.8,14.2, ,123, ,117, ,114, ,1.1
1972,All alcohol conditions, ,d z,Combined,2015/16,All,d,15-19 years, ,281.7,266.6,236.4, ,858, ,813, ,720, ,1.1
1973,All alcohol conditions, ,d z,Combined,2015/16,All,d,20-24 years, ,362.1,310.1,227.9, ,1329, ,1140, ,837, ,1.2
1974,All alcohol conditions, ,d z,Combined,2015/16,All,d,25-29 years, ,479.8,357.9,208.9, ,1740, ,1299, ,759, ,1.3
1975,All alcohol conditions, ,d z,Combined,2015/16,All,d,30-34 years, ,673.3,434.7,212, ,2322, ,1497, ,732, ,1.6
1976,All alcohol conditions, ,d z,Combined,2015/16,All,d,35-39 years, ,829.2,517.7,233.2, ,2637, ,1647, ,741, ,1.6
1977,All alcohol conditions, ,d z,Combined,2015/16,All,d,40-44 years, ,1072.2,645.3,261, ,3714, ,2235, ,906, ,1.7
1978,All alcohol conditions, ,d z,Combined,2015/16,All,d,45-49 years, ,1170.1,711.6,272.4, ,4578, ,2784, ,1065, ,1.6
1979,All alcohol conditions, ,d z,Combined,2015/16,All,d,50-54 years, ,1242.2,734.9,274.9, ,4980, ,2949, ,1104, ,1.7
1980,All alcohol conditions, ,d z,Combined,2015/16,All,d,55-59 years, ,1238.8,777,293.2, ,4443, ,2790, ,1053, ,1.6
1981,All alcohol conditions, ,d z,Combined,2015/16,All,d,60-64 years, ,1162.6,746.1,311.9, ,3633, ,2334, ,978, ,1.6
1982,All alcohol conditions, ,d z,Combined,2015/16,All,d,65 years and over, ,840.8,593.8,292.9, ,7929, ,5589, ,2751, ,1.4
1983,All alcohol conditions, ,d z,Combined,2016/17,All,d,Under 15 years, ,21.3,20.4,19.7, ,171, ,162, ,156, ,1.1
1984,All alcohol conditions, ,d z,Combined,2016/17,All,d,15-19 years, ,292.6,271.8,248.3, ,876, ,813, ,744, ,1.1
1985,All alcohol conditions, ,d z,Combined,2016/17,All,d,20-24 years, ,338.1,284,210.3, ,1230, ,1032, ,765, ,1.2
1986,All alcohol conditions, ,d z,Combined,2016/17,All,d,25-29 years, ,489,339.6,194.7, ,1827, ,1269, ,726, ,1.4
1987,All alcohol conditions, ,d z,Combined,2016/17,All,d,30-34 years, ,678.5,436.4,211.4, ,2367, ,1521, ,738, ,1.6
1988,All alcohol conditions, ,d z,Combined,2016/17,All,d,35-39 years, ,909.7,538.7,236.1, ,2964, ,1755, ,768, ,1.7
1989,All alcohol conditions, ,d z,Combined,2016/17,All,d,40-44 years, ,1038.5,649.5,268.3, ,3477, ,2175, ,897, ,1.6
1990,All alcohol conditions, ,d z,Combined,2016/17,All,d,45-49 years, ,1168.6,708.6,270.5, ,4521, ,2745, ,1050, ,1.6
1991,All alcohol conditions, ,d z,Combined,2016/17,All,d,50-54 years, ,1253.9,748,286.5, ,5043, ,3009, ,1152, ,1.7
1992,All alcohol conditions, ,d z,Combined,2016/17,All,d,55-59 years, ,1301.2,802.9,326.7, ,4770, ,2946, ,1200, ,1.6
1993,All alcohol conditions, ,d z,Combined,2016/17,All,d,60-64 years, ,1167.8,740.3,314.2, ,3702, ,2349, ,999, ,1.6
1994,All alcohol conditions, ,d z,Combined,2016/17,All,d,65 years and over, ,840,598.2,291, ,8067, ,5724, ,2772, ,1.4
1995,All alcohol conditions, ,d z,Combined,2017/18,All,d,Under 15 years, ,20.4,20,19.1, ,165, ,162, ,156, ,1
1996,All alcohol conditions, ,d z,Combined,2017/18,All,d,15-19 years, ,306.4,277.7,254, ,891, ,810, ,741, ,1.1
1997,All alcohol conditions, ,d z,Combined,2017/18,All,d,20-24 years, ,351.5,285.1,218.7, ,1254, ,1017, ,780, ,1.2
1998,All alcohol conditions, ,d z,Combined,2017/18,All,d,25-29 years, ,454.1,321.8,190.2, ,1734, ,1227, ,726, ,1.4
1999,All alcohol conditions, ,d z,Combined,2017/18,All,d,30-34 years, ,654.9,429.2,206.4, ,2310, ,1512, ,729, ,1.5
2000,All alcohol conditions, ,d z,Combined,2017/18,All,d,35-39 years, ,888.9,555.9,249, ,2991, ,1869, ,837, ,1.6
2001,All alcohol conditions, ,d z,Combined,2017/18,All,d,40-44 years, ,1010.4,612,252.6, ,3261, ,1977, ,816, ,1.6
2002,All alcohol conditions, ,d z,Combined,2017/18,All,d,45-49 years, ,1113.6,665.5,267.2, ,4221, ,2526, ,1017, ,1.7
2003,All alcohol conditions, ,d z,Combined,2017/18,All,d,50-54 years, ,1205.5,705.9,271.5, ,4848, ,2838, ,1092, ,1.7
2004,All alcohol conditions, ,d z,Combined,2017/18,All,d,55-59 years, ,1216.8,751.7,298.5, ,4560, ,2820, ,1122, ,1.6
2005,All alcohol conditions, ,d z,Combined,2017/18,All,d,60-64 years, ,1145,730.4,306.3, ,3714, ,2370, ,996, ,1.6
2006,All alcohol conditions, ,d z,Combined,2017/18,All,d,65 years and over, ,847.9,595.8,287, ,8253, ,5775, ,2772, ,1.4
2007,All alcohol conditions, ,d z,Combined,2018/19,All,d,Under 15 years, ,19,17.7,17.2, ,159, ,147, ,144, ,1.1
2008,All alcohol conditions, ,d z,Combined,2018/19,All,d,15-19 years, ,339.2,308.7,279.5, ,969, ,882, ,798, ,1.1
2009,All alcohol conditions, ,d z,Combined,2018/19,All,d,20-24 years, ,377.2,322.9,253.6, ,1326, ,1134, ,891, ,1.2
2010,All alcohol conditions, ,d z,Combined,2018/19,All,d,25-29 years, ,488.7,343.6,204.8, ,1866, ,1311, ,783, ,1.4
2011,All alcohol conditions, ,d z,Combined,2018/19,All,d,30-34 years, ,657,438.4,225.8, ,2361, ,1575, ,810, ,1.5
2012,All alcohol conditions, ,d z,Combined,2018/19,All,d,35-39 years, ,851.9,517,230.8, ,2940, ,1785, ,798, ,1.6
2013,All alcohol conditions, ,d z,Combined,2018/19,All,d,40-44 years, ,1048.5,602.6,251.3, ,3306, ,1899, ,792, ,1.7
2014,All alcohol conditions, ,d z,Combined,2018/19,All,d,45-49 years, ,1079.3,659.1,276.6, ,3984, ,2436, ,1023, ,1.6
2015,All alcohol conditions, ,d z,Combined,2018/19,All,d,50-54 years, ,1201.2,720.4,282.4, ,4800, ,2880, ,1131, ,1.7
2016,All alcohol conditions, ,d z,Combined,2018/19,All,d,55-59 years, ,1190,728.6,297.6, ,4548, ,2787, ,1140, ,1.6
2017,All alcohol conditions, ,d z,Combined,2018/19,All,d,60-64 years, ,1194.3,764.2,313.7, ,3960, ,2535, ,1041, ,1.6
2018,All alcohol conditions, ,d z,Combined,2018/19,All,d,65 years and over, ,833,589.5,295.6, ,8220, ,5799, ,2901, ,1.4
2019,All alcohol conditions, ,d z,Combined,1997/98,Male, ,Under 15 years, ,62.8,61.7, ,:,300, ,294, , ,:,1
2020,All alcohol conditions, ,d z,Combined,1997/98,Male, ,15-19 years, ,573.9,534.4, ,:,915, ,852, , ,:,1.1
2021,All alcohol conditions, ,d z,Combined,1997/98,Male, ,20-24 years, ,742.5,640.8, ,:,1188, ,1026, , ,:,1.2
2022,All alcohol conditions, ,d z,Combined,1997/98,Male, ,25-29 years, ,760.8,596.9, ,:,1416, ,1110, , ,:,1.3
2023,All alcohol conditions, ,d z,Combined,1997/98,Male, ,30-34 years, ,1009.1,693.4, ,:,1995, ,1371, , ,:,1.5
2024,All alcohol conditions, ,d z,Combined,1997/98,Male, ,35-39 years, ,1303.9,850.7, ,:,2481, ,1617, , ,:,1.5
2025,All alcohol conditions, ,d z,Combined,1997/98,Male, ,40-44 years, ,1632,1043.9, ,:,2799, ,1791, , ,:,1.6
2026,All alcohol conditions, ,d z,Combined,1997/98,Male, ,45-49 years, ,1674.2,1071.1, ,:,2826, ,1809, , ,:,1.6
2027,All alcohol conditions, ,d z,Combined,1997/98,Male, ,50-54 years, ,1736.9,1152, ,:,2733, ,1812, , ,:,1.5
2028,All alcohol conditions, ,d z,Combined,1997/98,Male, ,55-59 years, ,1890,1250.9, ,:,2496, ,1653, , ,:,1.5
2029,All alcohol conditions, ,d z,Combined,1997/98,Male, ,60-64 years, ,1663.2,1146.8, ,:,2028, ,1398, , ,:,1.5
2030,All alcohol conditions, ,d z,Combined,1997/98,Male, ,65 years and over, ,1122.2,840.9, ,:,3768, ,2799, , ,:,1.3
2031,All alcohol conditions, ,d z,Combined,1998/99,Male, ,Under 15 years, ,48.8,47.2, ,:,234, ,228, , ,:,1
2032,All alcohol conditions, ,d z,Combined,1998/99,Male, ,15-19 years, ,611.5,582.4, ,:,987, ,939, , ,:,1.1
2033,All alcohol conditions, ,d z,Combined,1998/99,Male, ,20-24 years, ,770,633.1, ,:,1182, ,972, , ,:,1.2
2034,All alcohol conditions, ,d z,Combined,1998/99,Male, ,25-29 years, ,770.4,586.2, ,:,1371, ,1044, , ,:,1.3
2035,All alcohol conditions, ,d z,Combined,1998/99,Male, ,30-34 years, ,1081.5,756.3, ,:,2115, ,1479, , ,:,1.4
2036,All alcohol conditions, ,d z,Combined,1998/99,Male, ,35-39 years, ,1312.6,860, ,:,2526, ,1656, , ,:,1.5
2037,All alcohol conditions, ,d z,Combined,1998/99,Male, ,40-44 years, ,1637.4,1022.3, ,:,2859, ,1785, , ,:,1.6
2038,All alcohol conditions, ,d z,Combined,1998/99,Male, ,45-49 years, ,1658.5,1079.5, ,:,2751, ,1791, , ,:,1.5
2039,All alcohol conditions, ,d z,Combined,1998/99,Male, ,50-54 years, ,1706.5,1130.6, ,:,2790, ,1848, , ,:,1.5
2040,All alcohol conditions, ,d z,Combined,1998/99,Male, ,55-59 years, ,1817.4,1236.3, ,:,2430, ,1653, , ,:,1.5
2041,All alcohol conditions, ,d z,Combined,1998/99,Male, ,60-64 years, ,1690.8,1171.4, ,:,2091, ,1449, , ,:,1.4
2042,All alcohol conditions, ,d z,Combined,1998/99,Male, ,65 years and over, ,1159.1,884.2, ,:,3924, ,2970, , ,:,1.3
2043,All alcohol conditions, ,d z,Combined,1999/00,Male, ,Under 15 years, ,55.7,54.6, ,:,270, ,264, , ,:,1
2044,All alcohol conditions, ,d z,Combined,1999/00,Male, ,15-19 years, ,676.1,632.5, ,:,1086, ,1017, , ,:,1.1
2045,All alcohol conditions, ,d z,Combined,1999/00,Male, ,20-24 years, ,845.8,705.5, ,:,1290, ,1077, , ,:,1.2
2046,All alcohol conditions, ,d z,Combined,1999/00,Male, ,25-29 years, ,869.4,652.2, ,:,1470, ,1101, , ,:,1.3
2047,All alcohol conditions, ,d z,Combined,1999/00,Male, ,30-34 years, ,1056.3,721, ,:,2034, ,1389, , ,:,1.5
2048,All alcohol conditions, ,d z,Combined,1999/00,Male, ,35-39 years, ,1362.2,859.9, ,:,2643, ,1668, , ,:,1.6
2049,All alcohol conditions, ,d z,Combined,1999/00,Male, ,40-44 years, ,1752,1064.1, ,:,3120, ,1896, , ,:,1.6
2050,All alcohol conditions, ,d z,Combined,1999/00,Male, ,45-49 years, ,1842.9,1147.5, ,:,3036, ,1890, , ,:,1.6
2051,All alcohol conditions, ,d z,Combined,1999/00,Male, ,50-54 years, ,1866.2,1176.9, ,:,3126, ,1971, , ,:,1.6
2052,All alcohol conditions, ,d z,Combined,1999/00,Male, ,55-59 years, ,1905.6,1281.9, ,:,2598, ,1746, , ,:,1.5
2053,All alcohol conditions, ,d z,Combined,1999/00,Male, ,60-64 years, ,1742.7,1216.6, ,:,2172, ,1518, , ,:,1.4
2054,All alcohol conditions, ,d z,Combined,1999/00,Male, ,65 years and over, ,1258.1,932.5, ,:,4290, ,3156, , ,:,1.4
2055,All alcohol conditions, ,d z,Combined,2000/01,Male, ,Under 15 years, ,58.7,57.7, ,:,282, ,276, , ,:,1
2056,All alcohol conditions, ,d z,Combined,2000/01,Male, ,15-19 years, ,634.5,584.7, ,:,1020, ,939, , ,:,1.1
2057,All alcohol conditions, ,d z,Combined,2000/01,Male, ,20-24 years, ,729.3,623.5, ,:,1122, ,960, , ,:,1.2
2058,All alcohol conditions, ,d z,Combined,2000/01,Male, ,25-29 years, ,806.5,586.9, ,:,1293, ,942, , ,:,1.4
2059,All alcohol conditions, ,d z,Combined,2000/01,Male, ,30-34 years, ,1048.4,721.9, ,:,1962, ,1350, , ,:,1.5
2060,All alcohol conditions, ,d z,Combined,2000/01,Male, ,35-39 years, ,1301.9,813, ,:,2544, ,1587, , ,:,1.6
2061,All alcohol conditions, ,d z,Combined,2000/01,Male, ,40-44 years, ,1708.5,1040.9, ,:,3105, ,1890, , ,:,1.6
2062,All alcohol conditions, ,d z,Combined,2000/01,Male, ,45-49 years, ,1855.2,1142, ,:,3060, ,1884, , ,:,1.6
2063,All alcohol conditions, ,d z,Combined,2000/01,Male, ,50-54 years, ,1929.7,1224.5, ,:,3312, ,2100, , ,:,1.6
2064,All alcohol conditions, ,d z,Combined,2000/01,Male, ,55-59 years, ,1865.4,1223, ,:,2571, ,1686, , ,:,1.5
2065,All alcohol conditions, ,d z,Combined,2000/01,Male, ,60-64 years, ,1707.5,1190.5, ,:,2139, ,1491, , ,:,1.4
2066,All alcohol conditions, ,d z,Combined,2000/01,Male, ,65 years and over, ,1170.4,886.7, ,:,4035, ,3036, , ,:,1.3
2067,All alcohol conditions, ,d z,Combined,2001/02,Male, ,Under 15 years, ,50.7,50.5, ,:,243, ,243, , ,:,1
2068,All alcohol conditions, ,d z,Combined,2001/02,Male, ,15-19 years, ,677.1,621.8, ,:,1092, ,1002, , ,:,1.1
2069,All alcohol conditions, ,d z,Combined,2001/02,Male, ,20-24 years, ,820.5,684.8, ,:,1293, ,1080, , ,:,1.2
2070,All alcohol conditions, ,d z,Combined,2001/02,Male, ,25-29 years, ,970.5,683.1, ,:,1485, ,1047, , ,:,1.4
2071,All alcohol conditions, ,d z,Combined,2001/02,Male, ,30-34 years, ,1107.1,747.6, ,:,2040, ,1377, , ,:,1.5
2072,All alcohol conditions, ,d z,Combined,2001/02,Male, ,35-39 years, ,1389.4,882.4, ,:,2706, ,1719, , ,:,1.6
2073,All alcohol conditions, ,d z,Combined,2001/02,Male, ,40-44 years, ,1617.9,1039.8, ,:,2985, ,1920, , ,:,1.6
2074,All alcohol conditions, ,d z,Combined,2001/02,Male, ,45-49 years, ,1947.7,1151.1, ,:,3258, ,1926, , ,:,1.7
2075,All alcohol conditions, ,d z,Combined,2001/02,Male, ,50-54 years, ,1783.4,1164.2, ,:,3102, ,2025, , ,:,1.5
2076,All alcohol conditions, ,d z,Combined,2001/02,Male, ,55-59 years, ,1914.4,1243.1, ,:,2718, ,1764, , ,:,1.5
2077,All alcohol conditions, ,d z,Combined,2001/02,Male, ,60-64 years, ,1929.8,1332.8, ,:,2406, ,1662, , ,:,1.4
2078,All alcohol conditions, ,d z,Combined,2001/02,Male, ,65 years and over, ,1218.8,909.1, ,:,4209, ,3117, , ,:,1.4
2079,All alcohol conditions, ,d z,Combined,2002/03,Male, ,Under 15 years, ,45.4,44.3, ,:,216, ,210, , ,:,1
2080,All alcohol conditions, ,d z,Combined,2002/03,Male, ,15-19 years, ,626.4,558.4, ,:,1014, ,903, , ,:,1.1
2081,All alcohol conditions, ,d z,Combined,2002/03,Male, ,20-24 years, ,847.2,718.5, ,:,1368, ,1161, , ,:,1.2
2082,All alcohol conditions, ,d z,Combined,2002/03,Male, ,25-29 years, ,950.6,703.5, ,:,1404, ,1038, , ,:,1.4
2083,All alcohol conditions, ,d z,Combined,2002/03,Male, ,30-34 years, ,1170.9,797.3, ,:,2085, ,1419, , ,:,1.5
2084,All alcohol conditions, ,d z,Combined,2002/03,Male, ,35-39 years, ,1398.1,881, ,:,2712, ,1710, , ,:,1.6
2085,All alcohol conditions, ,d z,Combined,2002/03,Male, ,40-44 years, ,1741.5,1077, ,:,3282, ,2028, , ,:,1.6
2086,All alcohol conditions, ,d z,Combined,2002/03,Male, ,45-49 years, ,2047.5,1218.8, ,:,3495, ,2082, , ,:,1.7
2087,All alcohol conditions, ,d z,Combined,2002/03,Male, ,50-54 years, ,1961.9,1251.1, ,:,3276, ,2088, , ,:,1.6
2088,All alcohol conditions, ,d z,Combined,2002/03,Male, ,55-59 years, ,1868.7,1266.7, ,:,2862, ,1941, , ,:,1.5
2089,All alcohol conditions, ,d z,Combined,2002/03,Male, ,60-64 years, ,2040.9,1400, ,:,2553, ,1752, , ,:,1.5
2090,All alcohol conditions, ,d z,Combined,2002/03,Male, ,65 years and over, ,1281.7,939, ,:,4518, ,3285, , ,:,1.4
2091,All alcohol conditions, ,d z,Combined,2003/04,Male, ,Under 15 years, ,37.2,36.7, ,:,174, ,174, , ,:,1
2092,All alcohol conditions, ,d z,Combined,2003/04,Male, ,15-19 years, ,575.7,528.4, ,:,939, ,861, , ,:,1.1
2093,All alcohol conditions, ,d z,Combined,2003/04,Male, ,20-24 years, ,725.9,612, ,:,1191, ,1005, , ,:,1.2
2094,All alcohol conditions, ,d z,Combined,2003/04,Male, ,25-29 years, ,922.5,672.6, ,:,1329, ,969, , ,:,1.4
2095,All alcohol conditions, ,d z,Combined,2003/04,Male, ,30-34 years, ,1149.5,761.9, ,:,1983, ,1314, , ,:,1.5
2096,All alcohol conditions, ,d z,Combined,2003/04,Male, ,35-39 years, ,1374.3,867.8, ,:,2652, ,1674, , ,:,1.6
2097,All alcohol conditions, ,d z,Combined,2003/04,Male, ,40-44 years, ,1676.9,1062.5, ,:,3207, ,2031, , ,:,1.6
2098,All alcohol conditions, ,d z,Combined,2003/04,Male, ,45-49 years, ,1968.1,1178.9, ,:,3420, ,2049, , ,:,1.7
2099,All alcohol conditions, ,d z,Combined,2003/04,Male, ,50-54 years, ,2104.3,1278.9, ,:,3453, ,2097, , ,:,1.6
2100,All alcohol conditions, ,d z,Combined,2003/04,Male, ,55-59 years, ,1822.4,1217, ,:,2907, ,1941, , ,:,1.5
2101,All alcohol conditions, ,d z,Combined,2003/04,Male, ,60-64 years, ,2137.4,1433.4, ,:,2709, ,1815, , ,:,1.5
2102,All alcohol conditions, ,d z,Combined,2003/04,Male, ,65 years and over, ,1334.8,999.4, ,:,4770, ,3543, , ,:,1.3
2103,All alcohol conditions, ,d z,Combined,2004/05,Male, ,Under 15 years, ,39,36.1, ,:,183, ,168, , ,:,1.1
2104,All alcohol conditions, ,d z,Combined,2004/05,Male, ,15-19 years, ,571.4,531.1, ,:,936, ,870, , ,:,1.1
2105,All alcohol conditions, ,d z,Combined,2004/05,Male, ,20-24 years, ,726.7,617.8, ,:,1194, ,1014, , ,:,1.2
2106,All alcohol conditions, ,d z,Combined,2004/05,Male, ,25-29 years, ,880.3,674.8, ,:,1281, ,981, , ,:,1.3
2107,All alcohol conditions, ,d z,Combined,2004/05,Male, ,30-34 years, ,1193.1,792.2, ,:,1983, ,1317, , ,:,1.5
2108,All alcohol conditions, ,d z,Combined,2004/05,Male, ,35-39 years, ,1456.7,942.8, ,:,2790, ,1806, , ,:,1.5
2109,All alcohol conditions, ,d z,Combined,2004/05,Male, ,40-44 years, ,1744.7,1068.4, ,:,3381, ,2070, , ,:,1.6
2110,All alcohol conditions, ,d z,Combined,2004/05,Male, ,45-49 years, ,2081.1,1300.3, ,:,3690, ,2304, , ,:,1.6
2111,All alcohol conditions, ,d z,Combined,2004/05,Male, ,50-54 years, ,2240.6,1306, ,:,3657, ,2130, , ,:,1.7
2112,All alcohol conditions, ,d z,Combined,2004/05,Male, ,55-59 years, ,2002.4,1261.5, ,:,3285, ,2070, , ,:,1.6
2113,All alcohol conditions, ,d z,Combined,2004/05,Male, ,60-64 years, ,2218.6,1459.8, ,:,2877, ,1893, , ,:,1.5
2114,All alcohol conditions, ,d z,Combined,2004/05,Male, ,65 years and over, ,1545.3,1102.1, ,:,5571, ,3936, , ,:,1.4
2115,All alcohol conditions, ,d z,Combined,2005/06,Male, ,Under 15 years, ,39.3,38.4, ,:,183, ,177, , ,:,1
2116,All alcohol conditions, ,d z,Combined,2005/06,Male, ,15-19 years, ,561.8,520.9, ,:,921, ,852, , ,:,1.1
2117,All alcohol conditions, ,d z,Combined,2005/06,Male, ,20-24 years, ,828,670.9, ,:,1377, ,1116, , ,:,1.2
2118,All alcohol conditions, ,d z,Combined,2005/06,Male, ,25-29 years, ,779.7,595.9, ,:,1170, ,894, , ,:,1.3
2119,All alcohol conditions, ,d z,Combined,2005/06,Male, ,30-34 years, ,1144.4,772.3, ,:,1845, ,1245, , ,:,1.5
2120,All alcohol conditions, ,d z,Combined,2005/06,Male, ,35-39 years, ,1480.1,911, ,:,2784, ,1713, , ,:,1.6
2121,All alcohol conditions, ,d z,Combined,2005/06,Male, ,40-44 years, ,1614.6,1016, ,:,3180, ,2001, , ,:,1.6
2122,All alcohol conditions, ,d z,Combined,2005/06,Male, ,45-49 years, ,2066.4,1276.5, ,:,3750, ,2316, , ,:,1.6
2123,All alcohol conditions, ,d z,Combined,2005/06,Male, ,50-54 years, ,2183.4,1275.4, ,:,3570, ,2085, , ,:,1.7
2124,All alcohol conditions, ,d z,Combined,2005/06,Male, ,55-59 years, ,1973.8,1207, ,:,3324, ,2031, , ,:,1.6
2125,All alcohol conditions, ,d z,Combined,2005/06,Male, ,60-64 years, ,2184.6,1444, ,:,2874, ,1899, , ,:,1.5
2126,All alcohol conditions, ,d z,Combined,2005/06,Male, ,65 years and over, ,1432,1029.8, ,:,5247, ,3744, , ,:,1.4
2127,All alcohol conditions, ,d z,Combined,2006/07,Male, ,Under 15 years, ,43.8,42.2, ,:,201, ,195, , ,:,1
2128,All alcohol conditions, ,d z,Combined,2006/07,Male, ,15-19 years, ,635.5,591.2, ,:,1047, ,975, , ,:,1.1
2129,All alcohol conditions, ,d z,Combined,2006/07,Male, ,20-24 years, ,901.6,735.7, ,:,1512, ,1233, , ,:,1.2
2130,All alcohol conditions, ,d z,Combined,2006/07,Male, ,25-29 years, ,884,645.4, ,:,1371, ,1002, , ,:,1.4
2131,All alcohol conditions, ,d z,Combined,2006/07,Male, ,30-34 years, ,1129.3,780.8, ,:,1764, ,1218, , ,:,1.4
2132,All alcohol conditions, ,d z,Combined,2006/07,Male, ,35-39 years, ,1550.2,934.2, ,:,2889, ,1740, , ,:,1.7
2133,All alcohol conditions, ,d z,Combined,2006/07,Male, ,40-44 years, ,1839.9,1099.8, ,:,3636, ,2175, , ,:,1.7
2134,All alcohol conditions, ,d z,Combined,2006/07,Male, ,45-49 years, ,1967.1,1227.8, ,:,3636, ,2271, , ,:,1.6
2135,All alcohol conditions, ,d z,Combined,2006/07,Male, ,50-54 years, ,2231,1307.1, ,:,3696, ,2166, , ,:,1.7
2136,All alcohol conditions, ,d z,Combined,2006/07,Male, ,55-59 years, ,1996.6,1277.5, ,:,3408, ,2181, , ,:,1.6
2137,All alcohol conditions, ,d z,Combined,2006/07,Male, ,60-64 years, ,2214.4,1391.8, ,:,3006, ,1890, , ,:,1.6
2138,All alcohol conditions, ,d z,Combined,2006/07,Male, ,65 years and over, ,1453.5,1039.8, ,:,5361, ,3804, , ,:,1.4
